Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0015---TSP200X.BS_043_R1	NS.2150.TSP0015---TSP200X.BS_043_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	846788.0	0.0	251.0	47.0	7.027733033533777	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0015---TSP200X.BS_043_R2	NS.2150.TSP0015---TSP200X.BS_043_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	846788.0	0.0	251.0	47.0	7.240891462798245	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0016---TSP200X.BS_044_R1	NS.2150.TSP0016---TSP200X.BS_044_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2053007.0	0.0	251.0	47.0	5.945553208783877	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0016---TSP200X.BS_044_R2	NS.2150.TSP0016---TSP200X.BS_044_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2053007.0	0.0	251.0	47.0	6.95078049917867	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0017---TSP200X.BS_049_R1	NS.2150.TSP0017---TSP200X.BS_049_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	438431.0	0.0	251.0	45.0	7.488065396835535	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0017---TSP200X.BS_049_R2	NS.2150.TSP0017---TSP200X.BS_049_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	438431.0	0.0	251.0	46.0	7.603933116043346	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0018---TSP200X.BS_050_R1	NS.2150.TSP0018---TSP200X.BS_050_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1226382.0	0.0	251.0	47.0	6.632517437470543	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0018---TSP200X.BS_050_R2	NS.2150.TSP0018---TSP200X.BS_050_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1226382.0	0.0	251.0	47.0	6.761351683243884	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0019---TSP200X.BS_051_R1	NS.2150.TSP0019---TSP200X.BS_051_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	237151.0	0.0	251.0	48.0	7.267099864643202	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
NS.2150.TSP0019---TSP200X.BS_051_R2	NS.2150.TSP0019---TSP200X.BS_051_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	237151.0	0.0	251.0	48.0	7.332459066164596	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0020---TSP200X.BS_052_R1	NS.2150.TSP0020---TSP200X.BS_052_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1410796.0	0.0	251.0	48.0	6.007459618541589	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0020---TSP200X.BS_052_R2	NS.2150.TSP0020---TSP200X.BS_052_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1410796.0	0.0	251.0	48.0	6.183176022614184	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0021---TSP200X.BS_053_R1	NS.2150.TSP0021---TSP200X.BS_053_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3327443.0	0.0	251.0	47.0	4.592753382178222	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0021---TSP200X.BS_053_R2	NS.2150.TSP0021---TSP200X.BS_053_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3327443.0	0.0	251.0	47.0	5.163133265542746	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
