#Position (bp)	insert size
6.37879778E8	457.0
6.45903423E8	4745.124655298554
6.53927068E8	0.0
6.61950713E8	132.0
6.69974358E8	184.0
6.77998003E8	278.0
6.85727668E8	0.0
6.897394905E8	0.0
6.94045293E8	8188.509365994237
7.02068938E8	292.0
7.10092583E8	149.0
7.18116228E8	330.0
7.26139873E8	333.0
7.34163518E8	0.0
7.42187163E8	245.5
7.50210808E8	337.0
7.58234453E8	328.0
7.66258098E8	363.0
7.74281743E8	197.0
7.82305388E8	0.0
7.90329033E8	0.0
7.98352678E8	352.0
8.06376323E8	0.0
8.14399968E8	89.0
8.22423613E8	0.0
8.30447258E8	109.0
8.38470903E8	152.0
8.46494548E8	147.0
8.54518193E8	175.0
8.62541838E8	222.5
8.70565483E8	271.5
8.771186855E8	275.0
8.81130508E8	316.8
8.86612773E8	45027.05426217765
8.94636418E8	0.0
9.02660063E8	142.0
9.10683708E8	138.0
9.18707353E8	121.0
9.26730998E8	222.0
9.34754643E8	285.61538461538464
9.42778288E8	297.0
9.50801933E8	0.0
9.58825578E8	225.66666666666666
9.66849223E8	161.0
9.74872868E8	261.0
9.82896513E8	0.0
9.90920158E8	264.0
9.98943803E8	0.0
1.006967448E9	144.0
1.014991093E9	278.25
1.023014738E9	370.0
1.031038383E9	245.0
1.039062028E9	0.0
1.047085673E9	297.0
1.055109318E9	193.0
1.0601597325E9	236.75
1.064171555E9	0.0
1.071156608E9	0.0
1.079180253E9	265.85714285714283
1.087203898E9	2800.4086100798454
1.095227543E9	7457.0
1.103251188E9	174.83333333333334
1.111274833E9	155.0
1.119298478E9	0.0
1.127322123E9	8.2737913E7
1.135345768E9	0.0
1.143369413E9	0.0
1.151393058E9	149.0
1.159416703E9	0.0
1.167440348E9	157.0
1.175463993E9	327.0
1.183487638E9	201.33333333333334
1.191511283E9	427.0
1.199534928E9	495.45415695415693
1.207558573E9	619.3596523242412
1.215582218E9	179.0
1.223605863E9	0.0
1.2298109945E9	149.46875
1.233822817E9	266.9230769230769
1.239653153E9	5667.527081563297
1.247676798E9	185.0
1.255700443E9	198.8181818181818
1.263724088E9	8.1847651E7
1.271747733E9	170.0
1.279771378E9	219.5
1.287795023E9	354.6923076923077
1.295818668E9	292.0
1.303842313E9	457.0
1.311865958E9	6469.640472247449
1.319889603E9	195.557761732852
1.327913248E9	141.0
1.335936893E9	188.25
1.343960538E9	241.0
1.351984183E9	1827.923712528824
1.360007828E9	311.26666666666665
1.368031473E9	267.6666666666667
1.376055118E9	340.6124432334242
1.384078763E9	240.85714285714286
1.389720431E9	191.0
1.3937322535E9	228.55555555555554
1.400126053E9	230.2
1.408149698E9	327.42857142857144
1.416173343E9	303.6666666666667
1.424196988E9	271.2
1.432220633E9	390.0
1.440244278E9	159.0
1.448267923E9	273.0
1.456291568E9	363.6666666666667
1.464315213E9	0.0
1.472338858E9	455.6666666666667
1.480362503E9	125.0
1.488386148E9	270.5
1.496409793E9	2306.419860962273
1.504433438E9	354.0
1.512457083E9	0.0
1.520480728E9	427.0
1.528504373E9	193.67123287671234
1.534502554E9	214.6153846153846
1.5385143765E9	327.85714285714283
1.544551663E9	176.0
1.552575308E9	166.0
1.560598953E9	0.0
