Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NS.2150.TSP0042---TSP200X.BS_089_R1	95.43010617191354	47.0	236.314527969295	247	27.27272727272727	3754957.0
NS.2150.TSP0042---TSP200X.BS_089_R2	95.37104475804807	47.0	237.40637933613684	247	36.36363636363637	3730106.0
NS.2150.TSP0043---TSP200X.BS_090_R1	95.9870219607382	47.0	236.44125162709048	247	27.27272727272727	4768481.0
NS.2150.TSP0043---TSP200X.BS_090_R2	95.42992618769304	47.0	237.36267964829563	247	36.36363636363637	4731815.0
NS.2150.TSP0044---TSP200X.BS_091_R1	95.03546445284356	48.0	236.11229678956292	247	27.27272727272727	2284393.0
NS.2150.TSP0044---TSP200X.BS_091_R2	94.49387475001558	48.0	236.76587289325906	247	36.36363636363637	2265466.0
NS.2150.TSP0045---TSP200X.BS_095_R1	95.8377679688819	47.0	235.67402559663216	247	27.27272727272727	4339399.0
NS.2150.TSP0045---TSP200X.BS_095_R2	95.8072448616139	47.0	237.00341458662416	247	36.36363636363637	4311210.0
NS.2150.TSP0046---TSP200X.BS_096_R1	85.87913911511654	49.0	236.80898159258598	247	36.36363636363637	39169.0
NS.2150.TSP0046---TSP200X.BS_096_R2	87.33087330873309	49.0	238.1483958589586	247	36.36363636363637	39024.0
NS.2150.TSP0047---TSP200X.BS_097_R1	86.28807397734091	49.0	238.08516570783186	247	27.27272727272727	28333.0
NS.2150.TSP0047---TSP200X.BS_097_R2	85.86106370875996	49.0	237.8556598407281	247	36.36363636363637	28128.0
NS.2150.TSP0048---TSP200X.BS_098_R1	95.59316559494538	47.0	235.9602431741153	247	27.27272727272727	4117708.0
NS.2150.TSP0048---TSP200X.BS_098_R2	94.49079596950384	47.0	236.77492126087577	247	36.36363636363637	4077071.0
NS.2150.TSP0049---TSP200X.BS_099_R1	93.1172224962091	48.0	234.74999744203132	242	27.27272727272727	977338.0
NS.2150.TSP0049---TSP200X.BS_099_R2	93.71903238203276	48.0	235.89935100298604	242	36.36363636363637	973194.0
NS.2150.TSP0050---TSP200X.BS_100_R1	94.4684616296143	47.0	234.86732428373014	242	27.27272727272727	1662467.0
NS.2150.TSP0050---TSP200X.BS_100_R2	94.54281398931668	47.0	235.81608218563264	242	36.36363636363637	1653233.0
NS.2150.TSP0052---TSP200X.BS_102_R1	86.01644141005991	50.0	235.56945799080395	242	36.36363636363637	35885.0
NS.2150.TSP0052---TSP200X.BS_102_R2	87.11282567371128	50.0	236.92348764396735	242	36.36363636363637	35772.0
NS.2150.TSP0054---TSP200X.BS_104_R1	92.73702507011313	48.0	236.6183339198311	242	36.36363636363637	375108.0
NS.2150.TSP0054---TSP200X.BS_104_R2	92.93704624511547	48.0	236.76165917057563	242	27.27272727272727	372861.0
NS.2150.TSP0055---TSP200X.BS_105_R1	95.42914636832599	48.0	235.05697789618497	242	27.27272727272727	3116928.0
NS.2150.TSP0055---TSP200X.BS_105_R2	95.24997232896918	48.0	236.33314084479764	247	36.36363636363637	3098020.0
NS.2150.TSP0056---TSP200X.BS_106_R1	90.45371758621036	46.0	235.58909326920175	247	27.27272727272727	198758.0
NS.2150.TSP0056---TSP200X.BS_106_R2	90.4610991859382	47.0	236.00019744036288	247	36.36363636363637	197528.0
NS.2150.TSP0057---TSP200X.BS_107_R1	93.77660538103267	48.0	234.7958221224492	242	27.27272727272727	1043257.0
NS.2150.TSP0057---TSP200X.BS_107_R2	93.75878999508049	48.0	235.62046899265934	242	36.36363636363637	1036690.0
NS.2150.TSP0058---TSP200X.BS_108_R1	92.6386017559842	48.0	234.2875149128918	242	27.27272727272727	709118.0
NS.2150.TSP0058---TSP200X.BS_108_R2	92.38055176196899	48.0	235.18363927562945	242	36.36363636363637	703673.0
NS.2150.TSP0059---TSP200X.BS_109_R1	94.01067042555249	46.0	234.7863488102234	242	27.27272727272727	1075496.0
NS.2150.TSP0059---TSP200X.BS_109_R2	93.66492195619809	46.0	235.77717207089955	247	36.36363636363637	1067990.0
NS.2150.TSP0060---TSP200X.BS_110_R1	89.5200666904847	48.0	233.50940461929682	242	27.27272727272727	142749.0
NS.2150.TSP0060---TSP200X.BS_110_R2	89.24534023512155	48.0	233.78931445214707	242	36.36363636363637	141799.0
NS.2150.TSP0062---TSP200X.BS_112_R1	88.79036841833307	48.0	235.46634630289878	247	27.27272727272727	96765.0
NS.2150.TSP0062---TSP200X.BS_112_R2	89.08444481407172	48.0	236.1102263158442	247	36.36363636363637	96193.0
NS.2150.TSP0063---TSP200X.BS_113_R1	93.58642564999649	47.0	233.79883379030557	242	27.27272727272727	1209045.0
NS.2150.TSP0063---TSP200X.BS_113_R2	93.8527924609295	47.0	235.50759946691423	242	36.36363636363637	1202058.0
