#Position (bp)	Coverage
1.737119143E9	1.0531373210056028E-4
1.745142788E9	7.454218126549717E-4
1.753166433E9	8.43382278253836E-4
1.761190078E9	9.521856961518114E-5
1.769213723E9	3.7238806053857068
1.777237368E9	3.806250151894806E-4
1.785261013E9	6.712659894599026E-4
1.793284658E9	2.1312009691355985E-4
1.801308303E9	3.837408060800297E-4
1.8070005885E9	0.0031339577247460966
1.811012411E9	0.0014058320906749902
1.817355593E9	2.937567651609711E-4
1.825379238E9	5.81281948540844E-4
1.833402883E9	2.8976855282106825E-4
1.841426528E9	3.039765592819722E-4
1.849450173E9	4.6487600086992884E-5
1.857473818E9	3.854856489787372E-4
1.865497463E9	1.7411039496388487E-4
1.873521108E9	8.279279554367124E-4
1.881544753E9	0.005507596609770248
1.889568398E9	6.954445267705637E-5
1.897592043E9	0.0013673336744085762
1.905615688E9	5.6832025843615965E-5
1.913639333E9	7.041687412641013E-5
1.921662978E9	2.0514367223375412E-4
1.929686623E9	0.0013614759875343438
1.937710268E9	0.0012002026510395214
1.942744882E9	6.550699727168245E-5
1.9467567045E9	0.0011003566038625895
1.953757558E9	24.48989692340576
1.961781203E9	7.590066609377659E-5
1.969804848E9	0.0013229648121271566
1.977828493E9	1.038181524730967E-4
1.985852138E9	5.020162282852744E-4
1.993875783E9	0.0010274632040674781
2.001899428E9	2.1112599074360843E-4
2.009923073E9	0.005916637637881536
2.017946718E9	8.57465653079118E-5
2.025970363E9	6.205409137617629E-4
2.033994008E9	6.468381888779975E-5
2.042017653E9	3.323925722037802E-4
2.050041298E9	1.3298195520863648E-4
2.058064943E9	0.0013574877751944409
2.066088588E9	0.002146281397045856
2.0735716965E9	0.0018255482262193319
2.077583519E9	0.0
2.082135878E9	0.0
2.090159523E9	0.0
2.098183168E9	2.988666622214717E-4
2.106206813E9	1.6987291935273806E-4
2.114230458E9	2.5287758867696664E-4
2.122254103E9	1.537954383575046E-4
2.130277748E9	3.887260715049083E-4
2.138301393E9	9.634025433577881E-5
2.146325038E9	4.486738882390734E-5
2.154348683E9	7.590066609377659E-5
2.162372328E9	6.578057728127304E-4
2.170395973E9	2.1100135910798645E-4
