#Position (bp)	insert size
2.282727003E9	268.21156773211567
2.290750648E9	297.1111111111111
2.2966067495E9	257.45098039215685
2.300618572E9	0.0
2.306797938E9	0.0
2.314821583E9	1007046.0
2.322845228E9	205.75
2.330868873E9	199.66666666666666
2.338892518E9	3432.230337677094
2.346916163E9	155.6
2.354939808E9	319.6666666666667
2.362963453E9	236.0
2.370987098E9	347.0
2.379010743E9	248.2
2.387034388E9	215.5
2.395058033E9	289.5
2.3997560365E9	0.0
2.403767859E9	187.83673469387756
2.411105323E9	335.3333333333333
2.419128968E9	169.75449101796409
2.427152613E9	1366.1123753946574
2.435176258E9	181.79365079365078
2.443199903E9	0.0
2.451223548E9	332.0
2.459247193E9	1628.189647021746
2.467270838E9	227.53883368881029
2.475294483E9	197.33333333333334
2.483318128E9	232.8
2.4890552565E9	294.57142857142856
2.493067079E9	342.0
2.499365418E9	416.55
2.507389063E9	230.25
2.515412708E9	0.0
2.523436353E9	299.8888888888889
2.531459998E9	314.2395833333333
2.539483643E9	270.2894736842105
2.547507288E9	338.1111111111111
2.555530933E9	1.3426908E7
2.563554578E9	222.8
2.570802202E9	185.24
2.5748140245E9	0.0
2.579601868E9	180.25
2.587625513E9	196.33333333333334
2.595649158E9	238.0
2.603672803E9	0.0
2.611696448E9	261.9375
2.619720093E9	328.0
2.627743738E9	0.0
2.635767383E9	213.72727272727272
2.643791028E9	0.0
2.6511070695E9	249.28571428571428
2.655118892E9	143.66666666666666
2.659838318E9	252.3
2.667861963E9	198.31578947368422
2.675885608E9	266.74074074074076
2.683909253E9	572.6
2.691932898E9	235.53874727985917
2.699956543E9	347.75
2.707980188E9	238.72727272727272
2.7125104575E9	125.0
2.71652228E9	386.0
2.724027478E9	374.2
2.732051123E9	203.0
2.740074768E9	254.32569558101474
2.748098413E9	155.7
2.756122058E9	0.0
2.764145703E9	303.3333333333333
2.772169348E9	337.4054460864806
2.776827121E9	306.5
2.7808389435E9	0.0
2.788216638E9	227711.0
2.796240283E9	0.0
2.804263928E9	273.0
2.812287573E9	223.0
2.820241225E9	307.45454545454544
2.8242530475E9	0.0
2.828334863E9	0.0
2.836358508E9	268.0
2.844382153E9	241.8
2.852405798E9	324.27272727272725
2.860429443E9	276.25
2.868453088E9	252.47058823529412
2.8737332165E9	196.12
2.877745039E9	0.0
2.884500378E9	395.0
2.892524023E9	477.0
2.900547668E9	0.0
2.908571313E9	0.0
2.916594958E9	421.5
2.924618603E9	196.0
2.932642248E9	0.0
2.940665893E9	0.0
2.948689538E9	0.0
2.956713183E9	0.0
2.964736828E9	0.0
2.972760473E9	282.0
2.980784118E9	341.0
2.988807763E9	0.0
2.996831408E9	0.0
3.004855053E9	299.0
3.012878698E9	230.0
3.020902343E9	0.0
3.0279782915E9	262.4782608695652
3.031990114E9	0.0
3.036949633E9	0.0
3.044973278E9	0.0
3.052996923E9	0.0
3.061020568E9	0.0
3.069044213E9	0.0
3.077067858E9	0.0
3.0846747565E9	0.0
3.088278117E9	0.0
3.088373929E9	0.0
3.0884774725E9	0.0
3.0885573295E9	0.0
3.0886546005E9	0.0
3.0887081185E9	0.0
3.0887493115E9	181.0
3.088858438E9	234.09056013647995
3.088966832E9	0.0
3.089008063E9	0.0
3.0890661235E9	0.0
3.089146859E9	0.0
3.089267292E9	0.0
3.08942189E9	0.0
3.089604443E9	0.0
3.089755642E9	0.0
3.0898220175E9	0.0
3.0898610755E9	0.0
3.089968525E9	0.0
3.0900764725E9	0.0
3.0901461555E9	364.0
3.090297168E9	0.0
3.090503609E9	167.5
3.0907062205E9	0.0
3.09089898E9	0.0
3.091013772E9	0.0
3.091052607E9	0.0
3.0911587895E9	0.0
3.091267064E9	0.0
3.0915130575E9	0.0
3.092673561E9	0.0
3.093702736E9	167.0
3.093935951E9	0.0
3.094132646E9	0.0
3.0942642985E9	0.0
