#Position (bp)	mapping quality
1.769213723E9	59.9805340370291
1.777237368E9	54.83835005574136
1.785261013E9	39.19290573372206
1.793284658E9	54.44961240310077
1.801308303E9	59.36020960108181
1.8070005885E9	49.876728565784276
1.811012411E9	56.51153678711363
1.817355593E9	58.780960174577196
1.825379238E9	47.63416093329345
1.833402883E9	0.0
1.841426528E9	53.63197794624397
1.849450173E9	56.74418604651163
1.857473818E9	56.21382636655949
1.865497463E9	51.71270718232044
1.873521108E9	55.97829506134004
1.881544753E9	59.43191904846441
1.889568398E9	0.0
1.897592043E9	59.89366729678639
1.905615688E9	9.722627737226277
1.913639333E9	1.027027027027027
1.921662978E9	58.97482014388489
1.929686623E9	58.233143785540214
1.937710268E9	54.263803680981596
1.942744882E9	0.0
1.9467567045E9	12.648162040510128
1.953757558E9	59.49626123926132
1.961781203E9	3.1313131313131315
1.969804848E9	57.948360083740404
1.977828493E9	56.36009174311926
1.985852138E9	59.27816259569814
1.993875783E9	36.387900355871885
2.001899428E9	0.0
2.009923073E9	7.525343338524706
2.017946718E9	10.910714285714286
2.025970363E9	53.21212121212121
2.033994008E9	35.11254019292605
2.042017653E9	0.0
2.050041298E9	0.592948717948718
2.058064943E9	58.203220433092724
2.066088588E9	56.557377049180324
2.0735716965E9	59.36386292834891
2.077583519E9	0.0
2.082135878E9	0.0
2.090159523E9	0.0
2.098183168E9	57.61988121287902
2.106206813E9	0.0
2.114230458E9	23.246753246753247
2.122254103E9	27.310344827586206
2.130277748E9	0.35294117647058826
2.138301393E9	0.3035019455252918
2.146325038E9	0.0
2.154348683E9	8.807339449541285
2.162372328E9	24.92753623188406
2.170395973E9	23.36405529953917
2.178419618E9	54.73476297968397
2.186443263E9	55.91047619047619
2.190931198E9	0.0
2.1949430205E9	0.0
2.202490553E9	0.0
2.210514198E9	54.93291239147593
2.218537843E9	3.7110481586402266
2.226561488E9	55.319800124921926
2.234585133E9	0.0
2.242608778E9	0.0
2.250632423E9	43.16481294236603
2.258656068E9	47.64440734557596
2.266679713E9	44.84417965169569
2.274703358E9	0.0
2.282727003E9	59.485851673756244
2.290750648E9	51.722035323801514
2.2966067495E9	59.822437479282534
2.300618572E9	0.0
2.306797938E9	0.0
2.314821583E9	0.0
2.322845228E9	56.62921348314607
2.330868873E9	57.54603854389722
2.338892518E9	59.96342002323714
2.346916163E9	1.8474945533769063
2.354939808E9	52.66416341243617
2.362963453E9	58.50228310502283
2.370987098E9	53.598971722365036
2.379010743E9	56.89268092105263
2.387034388E9	10.333333333333334
2.395058033E9	0.0
2.3997560365E9	0.0
2.403767859E9	57.43210137275607
2.411105323E9	45.62754409769335
2.419128968E9	57.77305695797483
2.427152613E9	59.98438264083917
2.435176258E9	58.558305568776774
2.443199903E9	0.0
2.451223548E9	45.09510086455332
2.459247193E9	59.842492860416016
2.467270838E9	59.98251546279437
2.475294483E9	5.232911392405064
2.483318128E9	52.96070944697623
2.4890552565E9	47.69798657718121
2.493067079E9	50.38745603751465
2.499365418E9	58.915838996340824
2.507389063E9	43.8758231420508
2.515412708E9	41.90045248868778
2.523436353E9	49.2045288531775
2.531459998E9	59.42852125043906
2.539483643E9	58.81019349690804
2.547507288E9	3.0661764705882355
2.555530933E9	53.85451505016722
2.563554578E9	56.404012588512984
2.570802202E9	57.08472235012432
2.5748140245E9	4.4036697247706424
2.579601868E9	55.55203619909502
2.587625513E9	53.82446808510638
2.595649158E9	3.4210526315789473
2.603672803E9	24.0
2.611696448E9	52.581344902386114
2.619720093E9	9.723897911832946
2.627743738E9	41.89605263157895
2.635767383E9	46.40335392762577
2.643791028E9	3.668192219679634
2.6511070695E9	59.97298027560119
2.655118892E9	0.0
2.659838318E9	59.60451265995099
2.667861963E9	53.0172236503856
2.675885608E9	57.79136104319478
2.683909253E9	59.801931415057155
2.691932898E9	53.433290346497266
2.699956543E9	49.127292940522516
2.707980188E9	54.9155782096209
2.7125104575E9	60.0
2.71652228E9	56.05508662816526
2.724027478E9	0.0
2.732051123E9	0.0
2.740074768E9	58.016264352151545
2.748098413E9	50.57146215326751
2.756122058E9	51.40700808625337
2.764145703E9	55.18243539202803
2.772169348E9	59.96182605496397
2.776827121E9	59.873772791023846
2.7808389435E9	0.0
2.788216638E9	0.0
2.796240283E9	49.914236706689536
2.804263928E9	0.0
2.812287573E9	45.43270300333704
2.820241225E9	59.31481481481482
2.8242530475E9	0.0
2.828334863E9	0.0
2.836358508E9	41.53431474186191
2.844382153E9	53.89897510980966
2.852405798E9	47.705263157894734
2.860429443E9	46.416938110749186
2.868453088E9	56.66105555005446
2.8737332165E9	59.68055255773797
2.877745039E9	52.64599855803893
2.884500378E9	0.0
2.892524023E9	0.7398843930635838
2.900547668E9	3.2661596958174903
2.908571313E9	0.8742857142857143
2.916594958E9	38.131928181108506
2.924618603E9	12.160804020100503
2.932642248E9	5.588235294117647
2.940665893E9	50.64021641118124
2.948689538E9	0.0
2.956713183E9	30.216783216783217
2.964736828E9	0.0
2.972760473E9	0.0
2.980784118E9	3.0
2.988807763E9	0.0
