Sample	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
NS.2150.TSP0011---TSP200X.BS_036_R2	497.0	448.0	463.0	498.0	352.0	246.0	247.0	278.0	219.0	312.0	298.0	715.0	505.0	292.0	420.0	298.0	363.0	326.0	431.0	347.0	322.0	320.0	290.0	284.0	349.0	346.0	341.0	568.0	302.0	291.0	328.0	413.0	7933.0	4958.0	4818.0	12416.0	634.0	741.0	617.0	48898.0	47201.0	47289.0	59611.0	75205.0	36346.0	59253.0	259736.0
NS.2150.TSP0012---TSP200X.BS_038_R1	1226.0	1107.0	1264.0	1440.0	869.0	784.0	4243.0	724.0	741.0	833.0	905.0	961.0	910.0	811.0	789.0	833.0	965.0	922.0	1200.0	970.0	940.0	883.0	1071.0	1002.0	1044.0	1016.0	1154.0	1477.0	1050.0	1233.0	1103.0	1389.0	8954.0	4848.0	4813.0	14275.0	1799.0	1655.0	2567.0	85349.0	80229.0	83232.0	100668.0	135908.0	84065.0	121345.0	512975.0
NS.2150.TSP0012---TSP200X.BS_038_R2	967.0	741.0	1093.0	1053.0	646.0	416.0	464.0	498.0	445.0	1071.0	1300.0	963.0	594.0	449.0	598.0	572.0	1178.0	623.0	697.0	623.0	625.0	631.0	575.0	620.0	681.0	666.0	669.0	1093.0	618.0	678.0	643.0	748.0	8755.0	4323.0	4224.0	14118.0	1298.0	1191.0	1500.0	86299.0	79017.0	86577.0	100614.0	137954.0	82262.0	120068.0	520452.0
NS.2150.TSP0013---TSP200X.BS_040_R1	1091.0	969.0	1362.0	1804.0	810.0	738.0	3474.0	780.0	627.0	843.0	860.0	910.0	762.0	772.0	672.0	743.0	910.0	829.0	1080.0	844.0	806.0	841.0	989.0	892.0	961.0	984.0	1089.0	1386.0	989.0	1117.0	1026.0	1160.0	7415.0	3594.0	4241.0	12834.0	1464.0	1607.0	2347.0	79271.0	74929.0	75918.0	91416.0	126881.0	71116.0	119466.0	520705.0
NS.2150.TSP0013---TSP200X.BS_040_R2	1003.0	765.0	1346.0	1548.0	705.0	463.0	439.0	535.0	452.0	785.0	1000.0	1403.0	761.0	474.0	663.0	555.0	1198.0	676.0	686.0	592.0	537.0	649.0	573.0	602.0	681.0	633.0	687.0	1109.0	606.0	638.0	674.0	816.0	7158.0	2907.0	3811.0	12765.0	1329.0	1414.0	1586.0	79861.0	73786.0	78788.0	90938.0	128315.0	69470.0	126155.0	515087.0
NS.2150.TSP0014---TSP200X.BS_042_R1	510.0	600.0	1293.0	918.0	330.0	291.0	1600.0	285.0	272.0	336.0	329.0	373.0	339.0	284.0	261.0	246.0	370.0	284.0	771.0	322.0	316.0	351.0	405.0	457.0	393.0	347.0	389.0	637.0	381.0	395.0	378.0	454.0	5132.0	2373.0	2342.0	6663.0	548.0	583.0	753.0	28809.0	30534.0	23920.0	36604.0	48195.0	28547.0	34160.0	165887.0
NS.2150.TSP0014---TSP200X.BS_042_R2	403.0	476.0	1197.0	713.0	244.0	178.0	193.0	191.0	152.0	202.0	252.0	481.0	418.0	205.0	226.0	192.0	293.0	191.0	605.0	269.0	246.0	264.0	251.0	301.0	275.0	244.0	278.0	494.0	242.0	242.0	234.0	318.0	5173.0	2308.0	2241.0	6739.0	433.0	464.0	469.0	28714.0	30808.0	24893.0	36801.0	48903.0	28350.0	39362.0	161386.0
NS.2150.TSP0015---TSP200X.BS_043_R1	776.0	745.0	957.0	1221.0	489.0	555.0	1865.0	410.0	449.0	529.0	599.0	531.0	542.0	480.0	486.0	498.0	656.0	546.0	972.0	790.0	606.0	590.0	693.0	667.0	704.0	678.0	714.0	663.0	697.0	816.0	731.0	825.0	6760.0	3351.0	2872.0	11645.0	1047.0	1032.0	1505.0	62206.0	45408.0	58617.0	73811.0	86912.0	46869.0	75854.0	340586.0
NS.2150.TSP0015---TSP200X.BS_043_R2	711.0	566.0	973.0	1099.0	446.0	306.0	302.0	363.0	254.0	359.0	399.0	969.0	1070.0	350.0	465.0	344.0	687.0	448.0	757.0	665.0	438.0	426.0	408.0	436.0	459.0	461.0	461.0	458.0	397.0	470.0	447.0	597.0	6681.0	3181.0	2482.0	11505.0	890.0	772.0	944.0	62528.0	44878.0	59872.0	73612.0	87981.0	45751.0	77090.0	340858.0
NS.2150.TSP0016---TSP200X.BS_044_R1	2318.0	1905.0	2307.0	2584.0	1600.0	1564.0	7256.0	1358.0	1467.0	1658.0	1733.0	1893.0	1727.0	1390.0	1352.0	1466.0	1801.0	1705.0	1956.0	1628.0	1586.0	1556.0	1834.0	1698.0	1802.0	2032.0	1925.0	2000.0	2021.0	2204.0	2032.0	2386.0	15928.0	7615.0	8424.0	22010.0	3162.0	3157.0	4328.0	127066.0	120757.0	131177.0	143848.0	204692.0	129153.0	205059.0	847533.0
