Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0029---TSP200X.BS_068_R1	NS.2150.TSP0029---TSP200X.BS_068_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	499971.0	0.0	20-251	47.0	5.6329267097491655	235.7106732190467	237	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0029---TSP200X.BS_068_R2	NS.2150.TSP0029---TSP200X.BS_068_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	497049.0	0.0	20-251	47.0	5.474108186516823	236.11552583346912	237	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0030---TSP200X.BS_069_R1	NS.2150.TSP0030---TSP200X.BS_069_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2250074.0	0.0	20-251	47.0	5.350760092646143	235.90524533859775	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0030---TSP200X.BS_069_R2	NS.2150.TSP0030---TSP200X.BS_069_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2236815.0	0.0	20-251	47.0	5.246567549934413	237.3871312558258	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0031---TSP200X.BS_072_R1	NS.2150.TSP0031---TSP200X.BS_072_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3598915.0	0.0	20-251	48.0	4.552331153132974	236.20289642850693	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0031---TSP200X.BS_072_R2	NS.2150.TSP0031---TSP200X.BS_072_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3573183.0	0.0	20-251	48.0	4.719880526562659	237.3974319255409	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0032---TSP200X.BS_073_R1	NS.2150.TSP0032---TSP200X.BS_073_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2515348.0	0.0	20-251	47.0	4.93809305388751	235.64322710018652	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0032---TSP200X.BS_073_R2	NS.2150.TSP0032---TSP200X.BS_073_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2499882.0	0.0	20-251	47.0	4.907951872609143	236.878448262758	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0033---TSP200X.BS_074_R1	NS.2150.TSP0033---TSP200X.BS_074_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2379832.0	0.0	20-251	47.0	4.993222350144129	236.00146943145566	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0033---TSP200X.BS_074_R2	NS.2150.TSP0033---TSP200X.BS_074_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2362374.0	0.0	20-251	47.0	5.236446119635083	236.98943816686096	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
